21-May-20 23:13:37 - Prover time taken is: 1.6606000000081167 ms
21-May-20 23:13:37 - Total time taken is: 2.221099999999865 ms
21-May-20 23:13:39 - Verifier time taken is: 0.7870000000025357 ms
21-May-20 23:13:39 - Prover time taken is: 2.850699999996209 ms
21-May-20 23:13:39 - Total time taken is: 3.6376999999987447 ms
21-May-20 23:13:41 - Verifier time taken is: 0.7583999999951629 ms
21-May-20 23:13:41 - Prover time taken is: 1.8289000000066835 ms
21-May-20 23:13:41 - Total time taken is: 2.5873000000018465 ms
21-May-20 23:13:43 - Verifier time taken is: 1.3828000000017937 ms
21-May-20 23:13:43 - Prover time taken is: 3.476899999995453 ms
21-May-20 23:13:43 - Total time taken is: 4.859699999997247 ms
21-May-20 23:13:45 - Verifier time taken is: 0.9670000000028267 ms
21-May-20 23:13:45 - Prover time taken is: 1.792300000005298 ms
21-May-20 23:13:45 - Total time taken is: 2.7593000000081247 ms
21-May-20 23:13:47 - Verifier time taken is: 1.1150000000128557 ms
21-May-20 23:13:47 - Prover time taken is: 2.6809000000014294 ms
21-May-20 23:13:47 - Total time taken is: 3.795900000014285 ms
21-May-20 23:13:49 - Verifier time taken is: 0.5966000000086069 ms
21-May-20 23:13:49 - Prover time taken is: 4.157599999999206 ms
21-May-20 23:13:49 - Total time taken is: 4.754200000007813 ms
21-May-20 23:13:51 - Verifier time taken is: 0.7313999999922771 ms
21-May-20 23:13:51 - Prover time taken is: 2.055999999996061 ms
21-May-20 23:13:51 - Total time taken is: 2.787399999988338 ms
21-May-20 23:13:53 - Verifier time taken is: 0.5304999999964366 ms
21-May-20 23:13:53 - Prover time taken is: 1.6980000000046402 ms
21-May-20 23:13:53 - Total time taken is: 2.228500000001077 ms
21-May-20 23:13:55 - Verifier time taken is: 0.4694000000000642 ms
21-May-20 23:13:55 - Prover time taken is: 1.6865999999993164 ms
21-May-20 23:13:55 - Total time taken is: 2.1559999999993806 ms
21-May-20 23:13:57 - Verifier time taken is: 0.7449000000008255 ms
21-May-20 23:13:57 - Prover time taken is: 1.6532000000069047 ms
21-May-20 23:13:57 - Total time taken is: 2.39810000000773 ms
21-May-20 23:13:59 - Verifier time taken is: 0.6711000000052536 ms
21-May-20 23:13:59 - Prover time taken is: 1.9394999999917673 ms
21-May-20 23:13:59 - Total time taken is: 2.610599999997021 ms
21-May-20 23:14:01 - Verifier time taken is: 2.5955999999922597 ms
21-May-20 23:14:01 - Prover time taken is: 2.876299999996945 ms
21-May-20 23:14:01 - Total time taken is: 5.471899999989205 ms
21-May-20 23:14:03 - Verifier time taken is: 0.8081000000004224 ms
21-May-20 23:14:03 - Prover time taken is: 2.0047000000005255 ms
21-May-20 23:14:03 - Total time taken is: 2.812800000000948 ms
21-May-20 23:14:05 - Verifier time taken is: 0.8655000000032942 ms
21-May-20 23:14:05 - Prover time taken is: 3.5687000000024227 ms
21-May-20 23:14:05 - Total time taken is: 4.434200000005717 ms
21-May-20 23:14:07 - Verifier time taken is: 1.0871000000065578 ms
21-May-20 23:14:07 - Prover time taken is: 3.893599999997832 ms
21-May-20 23:14:07 - Total time taken is: 4.98070000000439 ms
